"cold_treatment","cold_genotype","sample"
"control","D","CD8"
"cold","E","FE2"
"control","E","CE3"
"control","E","CE6"
"control","F","CF1"
"cold","F","FF3"
"cold","F","FF4"
"control","F","CF5"
"cold","G","FG3"
"control","H","CH1"
"cold","H","FH2"
"control","H","CH3"
"control","I","CI2"
"control","I","CI3"
"control","J","CJ2"
"control","J","CJ3"
"cold","J","FJ5"
"cold","J","FJ6"
"control","P","CP1"
"cold","P","FP3"
"cold","P","FP4"
"control","T","CT2"
"control","T","CT3"
"cold","T","FT4"
"cold","T","FT5"
"cold","T","FT6"
