,CD8,FE2,CE3,CE6,CF1,FF3,FF4,CF5,FG3,CH1,FH2,CH3,CI2,CI3,CJ2,CJ3,FJ5,FJ6,CP1,FP3,FP4,CT2,CT3,FT4,FT5,FT6
TRINITY_DN0_c0_g1,61,6,12,13,38,8,12,19,7,19,8,16,20,56,14,10,12,10,12,14,20,18,7,6,5,3
TRINITY_DN10000_c0_g1,1,4,3,1,2,0,1,1,2,2,3,6,3,2,1,3,1,2,1,1,2,1,4,2,3,2
TRINITY_DN10001_c0_g1,35,91,16,15,18,55,39,21,57,6,71,20,16,30,13,18,75,54,14,43,69,17,14,35,63,37
TRINITY_DN10002_c0_g1,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65,0,0,20
TRINITY_DN10003_c0_g1,2,6,2,4,2,2,3,3,4,3,2,3,3,2,2,1,2,1,4,5,8,2,3,3,3,4
TRINITY_DN10004_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,17,0,0,0,0,0
TRINITY_DN10005_c0_g1,0,7,1,2,0,1,3,3,5,1,5,4,5,3,3,1,7,2,0,3,1,0,4,2,4,6
TRINITY_DN10006_c0_g1,7,4,4,9,2,1,1,4,0,2,0,3,1,9,1,0,0,0,6,0,0,0,0,0,1,0
TRINITY_DN10007_c0_g1,2,3,2,7,7,1,1,3,0,11,1,17,7,12,6,2,0,0,10,8,9,3,6,2,4,9
TRINITY_DN10008_c0_g1,0,10,13,11,16,2,0,3,13,1,1,3,9,17,9,4,9,2,12,14,18,15,3,9,12,14
TRINITY_DN10009_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,0,0,1,0,0,0,2,8,7,8,2
TRINITY_DN1000_c0_g1,0,19,0,126,21,24,0,39,0,0,0,0,0,0,0,2,9,10,15,44,0,3,24,0,0,1
TRINITY_DN10010_c0_g1,25,35,15,8,19,19,33,21,34,10,7,16,32,27,8,8,23,21,23,22,15,23,17,13,38,36
TRINITY_DN10011_c0_g1,1,0,0,2,16,0,0,2,3,10,4,2,3,6,10,4,8,9,3,0,4,1,1,0,0,0
TRINITY_DN10012_c0_g1,1,7,5,1,2,8,7,2,6,1,7,2,2,1,0,2,7,0,1,9,9,0,0,2,4,3
TRINITY_DN10013_c0_g1,3,9,2,4,5,0,4,6,5,0,3,3,5,6,2,4,7,2,4,0,3,3,2,4,3,4
TRINITY_DN10014_c0_g1,9,9,6,3,5,6,8,9,6,7,5,12,5,4,2,5,8,7,6,6,12,8,3,8,7,5
TRINITY_DN10015_c0_g1,1,1,2,1,6,1,3,6,1,3,2,3,8,1,3,4,2,0,19,0,8,0,0,0,0,0
TRINITY_DN10016_c0_g1,9,5,1,2,13,7,3,7,3,3,3,1,6,11,3,1,5,1,3,6,4,3,3,1,4,2
TRINITY_DN10017_c0_g1,1,4,2,1,1,1,1,3,1,2,4,2,1,0,1,5,9,0,5,8,5,1,0,3,2,4
TRINITY_DN10018_c0_g1,2,3,0,1,4,2,1,4,5,2,2,2,1,0,1,0,5,2,0,1,4,1,3,3,1,3
